mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.047599474589029946,0.01275737174666065,0.0,0.0,0.1,8,0.6,"{'learning_rate': 0.1, 'n_estimators': 8, 'subsample': 0.6}",0.9240162822252375,0.9240162822252375,0.9121438263229308,0.9200587969244686,0.005596729385239535,50
0.04508161544799805,0.003932842645409139,0.011436144510904947,0.0034288022118471122,0.1,8,0.7,"{'learning_rate': 0.1, 'n_estimators': 8, 'subsample': 0.7}",0.9199457259158752,0.9240162822252375,0.9121438263229308,0.9187019448213478,0.0049260562891886095,56
0.0491337776184082,0.0028769909052859333,0.0040026505788167315,0.004320880172257866,0.1,8,0.75,"{'learning_rate': 0.1, 'n_estimators': 8, 'subsample': 0.75}",0.9199457259158752,0.919606512890095,0.9121438263229308,0.9172320217096336,0.0036005615848237744,62
0.047580877939860024,0.00011189637535462585,0.005250136057535808,0.00742481361687115,0.1,8,0.85,"{'learning_rate': 0.1, 'n_estimators': 8, 'subsample': 0.85}",0.919606512890095,0.919606512890095,0.9121438263229308,0.9171189507010403,0.003517944185007709,68
0.04773338635762533,0.00025771437083002487,0.0052335262298583984,0.007401323773301079,0.1,8,0.9,"{'learning_rate': 0.1, 'n_estimators': 8, 'subsample': 0.9}",0.9199457259158752,0.919606512890095,0.9135006784260515,0.9176843057440073,0.0029615108217342567,58
0.08469152450561523,0.007422015709967764,0.0,0.0,0.1,16,0.6,"{'learning_rate': 0.1, 'n_estimators': 16, 'subsample': 0.6}",0.9240162822252375,0.9226594301221167,0.9128222523744912,0.9198326549072818,0.0049879568069002116,51
0.11053180694580078,0.013101170587108581,0.005319118499755859,0.007522369522224367,0.1,16,0.7,"{'learning_rate': 0.1, 'n_estimators': 16, 'subsample': 0.7}",0.9226594301221167,0.9236770691994572,0.9216417910447762,0.9226594301221166,0.0008308988272669947,42
0.18230557441711426,0.02624674420814257,0.002592802047729492,0.0036667758204477806,0.1,16,0.75,"{'learning_rate': 0.1, 'n_estimators': 16, 'subsample': 0.75}",0.9229986431478969,0.9240162822252375,0.9226594301221167,0.9232247851650838,0.0005765512792393408,41
0.10576407114664714,0.007213998763840748,0.0,0.0,0.1,16,0.85,"{'learning_rate': 0.1, 'n_estimators': 16, 'subsample': 0.85}",0.923337856173677,0.9236770691994572,0.9135006784260515,0.9201718679330618,0.004719275611648394,49
0.10520076751708984,0.006529775985929529,0.0005822976430257162,0.0008234932241048548,0.1,16,0.9,"{'learning_rate': 0.1, 'n_estimators': 16, 'subsample': 0.9}",0.923337856173677,0.919606512890095,0.921302578018996,0.9214156490275894,0.00152541130294345,43
0.16308347384134927,0.00440062739724837,0.0013226668039957683,0.0018705333327114913,0.1,32,0.6,"{'learning_rate': 0.1, 'n_estimators': 32, 'subsample': 0.6}",0.9257123473541384,0.9270691994572592,0.9226594301221167,0.9251469923111714,0.0018441323417345236,27
0.19632426897684732,0.0032110559687889765,0.006211996078491211,0.0022594960901231383,0.1,32,0.7,"{'learning_rate': 0.1, 'n_estimators': 32, 'subsample': 0.7}",0.9253731343283582,0.925033921302578,0.9226594301221167,0.9243554952510177,0.0012072680067877902,35
0.22964207331339517,0.016315564535325493,0.004848639170328776,0.0013935393518280845,0.1,32,0.75,"{'learning_rate': 0.1, 'n_estimators': 32, 'subsample': 0.75}",0.9274084124830394,0.9229986431478969,0.9229986431478969,0.9244685662596112,0.002078785200231826,34
0.23186071713765463,0.030673588715480062,0.006946484247843425,0.007184199691955844,0.1,32,0.85,"{'learning_rate': 0.1, 'n_estimators': 32, 'subsample': 0.85}",0.926729986431479,0.9253731343283582,0.923337856173677,0.9251469923111714,0.0013940330174059372,27
0.1955734888712565,0.00620439247092485,0.005442698796590169,0.005707580289856689,0.1,32,0.9,"{'learning_rate': 0.1, 'n_estimators': 32, 'subsample': 0.9}",0.9270691994572592,0.9240162822252375,0.9240162822252375,0.9250339213025781,0.0014391589847758833,29
0.29970423380533856,0.001328885936531447,0.012302557627360025,0.0062757674204860425,0.1,64,0.6,"{'learning_rate': 0.1, 'n_estimators': 64, 'subsample': 0.6}",0.9386024423337856,0.9402985074626866,0.9389416553595658,0.939280868385346,0.0007327838872012729,23
0.33777618408203125,0.001933708736994942,0.003930250803629558,0.0009042747531595189,0.1,64,0.7,"{'learning_rate': 0.1, 'n_estimators': 64, 'subsample': 0.7}",0.9399592944369064,0.9433514246947082,0.9406377204884667,0.9413161465400272,0.0014655677744024773,17
0.33914724985758465,0.0011244706613785674,0.008408943812052408,0.005952945386334284,0.1,64,0.75,"{'learning_rate': 0.1, 'n_estimators': 64, 'subsample': 0.75}",0.9406377204884667,0.9419945725915875,0.9382632293080054,0.9402985074626865,0.0015420829598581734,18
0.3641226291656494,0.002583733601878836,0.0026891231536865234,0.0010732946138433958,0.1,64,0.85,"{'learning_rate': 0.1, 'n_estimators': 64, 'subsample': 0.85}",0.937584803256445,0.9389416553595658,0.9382632293080054,0.9382632293080054,0.0005539325515113449,25
0.39168286323547363,0.01991324571442952,0.006221214930216472,0.00618987195799823,0.1,64,0.9,"{'learning_rate': 0.1, 'n_estimators': 64, 'subsample': 0.9}",0.9396200814111262,0.9409769335142469,0.939280868385346,0.9399592944369064,0.0007327838872012558,20
0.5940946737925211,0.006233789958804636,0.0,0.0,0.1,128,0.6,"{'learning_rate': 0.1, 'n_estimators': 128, 'subsample': 0.6}",0.944708276797829,0.9508141112618724,0.9508141112618724,0.9487788331071912,0.002878317969551767,10
0.6418871084849039,0.0130201246221927,0.002333561579386393,0.0033001544342010176,0.1,128,0.7,"{'learning_rate': 0.1, 'n_estimators': 128, 'subsample': 0.7}",0.944708276797829,0.9521709633649932,0.9525101763907734,0.9497964721845319,0.0036005615848237744,6
0.7577997048695883,0.0201697890458071,0.004600922266642253,0.003379260107889194,0.1,128,0.75,"{'learning_rate': 0.1, 'n_estimators': 128, 'subsample': 0.75}",0.9436906377204884,0.9484396200814111,0.9494572591587517,0.9471958389868838,0.0025131287619734196,15
0.7917523384094238,0.0905969656369655,0.006062030792236328,0.0043754114923120245,0.1,128,0.85,"{'learning_rate': 0.1, 'n_estimators': 128, 'subsample': 0.85}",0.9436906377204884,0.9521709633649932,0.9514925373134329,0.9491180461329716,0.0038477384729022133,8
0.9046717484792074,0.04381069006686654,0.012051661809285482,0.002773642013677073,0.1,128,0.9,"{'learning_rate': 0.1, 'n_estimators': 128, 'subsample': 0.9}",0.9433514246947082,0.9508141112618724,0.9504748982360922,0.9482134780642243,0.003440778845477828,14
1.1888227462768555,0.02200024935408952,0.010251204172770182,0.006194961310897836,0.1,256,0.6,"{'learning_rate': 0.1, 'n_estimators': 256, 'subsample': 0.6}",0.9531886024423338,0.9599728629579376,0.9555630936227951,0.9562415196743554,0.002810900699831752,3
1.3783401648203533,0.10277685571869712,0.01387166976928711,0.0007729756345902002,0.1,256,0.7,"{'learning_rate': 0.1, 'n_estimators': 256, 'subsample': 0.7}",0.9525101763907734,0.9603120759837178,0.9562415196743554,0.9563545906829489,0.003186115514157725,2
1.332766850789388,0.01943042117750687,0.014003515243530273,0.0012887028743972229,0.1,256,0.75,"{'learning_rate': 0.1, 'n_estimators': 256, 'subsample': 0.75}",0.9552238805970149,0.9606512890094979,0.9559023066485753,0.957259158751696,0.00241453601357558,1
1.4552090167999268,0.043318546984679934,0.017175753911336262,0.0012157047642216107,0.1,256,0.85,"{'learning_rate': 0.1, 'n_estimators': 256, 'subsample': 0.85}",0.9501356852103121,0.9603120759837178,0.9548846675712347,0.9551108095884215,0.004157570400463649,5
1.4981803099314372,0.041735262696959596,0.0162045160929362,0.00041525505365651343,0.1,256,0.9,"{'learning_rate': 0.1, 'n_estimators': 256, 'subsample': 0.9}",0.9511533242876526,0.9582767978290366,0.9575983717774763,0.9556761646313885,0.0032101016658929063,4
0.04895663261413574,0.0033942129903175183,0.0013737678527832031,0.0012848510173436123,0.01,8,0.6,"{'learning_rate': 0.01, 'n_estimators': 8, 'subsample': 0.6}",0.5580054274084125,0.5580054274084125,0.5576662143826323,0.5578923563998192,0.0001599065538639987,96
0.045862436294555664,0.0011904115422835307,0.004038413365681966,0.0015179165245224242,0.01,8,0.7,"{'learning_rate': 0.01, 'n_estimators': 8, 'subsample': 0.7}",0.5580054274084125,0.5580054274084125,0.5576662143826323,0.5578923563998192,0.0001599065538639987,96
0.04461789131164551,0.001704122752563106,0.004271030426025391,0.0015735685584409075,0.01,8,0.75,"{'learning_rate': 0.01, 'n_estimators': 8, 'subsample': 0.75}",0.5580054274084125,0.5580054274084125,0.5576662143826323,0.5578923563998192,0.0001599065538639987,96
