mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.05780585606892904,0.010923558518243665,0.005098104476928711,0.0016033357608129307,0.1,8,0.6,"{'learning_rate': 0.1, 'n_estimators': 8, 'subsample': 0.6}",0.9148575305291723,0.9182496607869742,0.9192672998643148,0.9174581637268204,0.001885270465912838,62
0.04701399803161621,0.0016812339305898236,0.0026837984720865884,0.001214337973048313,0.1,8,0.7,"{'learning_rate': 0.1, 'n_estimators': 8, 'subsample': 0.7}",0.9148575305291723,0.9182496607869742,0.9209633649932157,0.9180235187697874,0.0024978202209831103,61
0.05005828539530436,0.005911657063592249,0.0051390329996744795,0.0029303704829789865,0.1,8,0.75,"{'learning_rate': 0.1, 'n_estimators': 8, 'subsample': 0.75}",0.9148575305291723,0.9182496607869742,0.921302578018996,0.9181365897783809,0.002632394103759139,60
0.05313499768575033,0.002530537452902985,0.0027376810709635415,0.002504590568992076,0.1,8,0.85,"{'learning_rate': 0.1, 'n_estimators': 8, 'subsample': 0.85}",0.9148575305291723,0.9182496607869742,0.9216417910447762,0.9182496607869742,0.0027696627575567695,58
0.05316638946533203,0.0018519729191334895,0.0034154256184895835,0.0013376830620167614,0.1,8,0.9,"{'learning_rate': 0.1, 'n_estimators': 8, 'subsample': 0.9}",0.9148575305291723,0.9182496607869742,0.9168928086838535,0.9166666666666666,0.0013940330174059372,63
0.07487972577412923,0.007155738656438896,0.005312601725260417,0.0075131534113499834,0.1,16,0.6,"{'learning_rate': 0.1, 'n_estimators': 16, 'subsample': 0.6}",0.9209633649932157,0.9182496607869742,0.9216417910447762,0.9202849389416553,0.0014655677744025116,45
0.0940566857655843,0.008079375893966437,0.001346906026204427,0.0009525401470866449,0.1,16,0.7,"{'learning_rate': 0.1, 'n_estimators': 16, 'subsample': 0.7}",0.9185888738127544,0.9182496607869742,0.9226594301221167,0.9198326549072817,0.002003623377054425,49
0.08878477414449056,0.005853768188398089,0.0006669362386067709,0.0009431902738757938,0.1,16,0.75,"{'learning_rate': 0.1, 'n_estimators': 16, 'subsample': 0.75}",0.921302578018996,0.9182496607869742,0.9229986431478969,0.9208502939846225,0.0019649646310473637,41
0.10433705647786458,0.00999657215919761,0.0022930304209391275,0.0019889639461037186,0.1,16,0.85,"{'learning_rate': 0.1, 'n_estimators': 16, 'subsample': 0.85}",0.921302578018996,0.9182496607869742,0.9216417910447762,0.9203980099502488,0.0015254113029434828,44
0.1003435452779134,0.0031935751744431064,0.0023862520853678384,0.0004891518167380829,0.1,16,0.9,"{'learning_rate': 0.1, 'n_estimators': 16, 'subsample': 0.9}",0.9192672998643148,0.9182496607869742,0.9226594301221167,0.9200587969244687,0.001885270465912838,47
0.15366021792093912,0.014266577844209016,0.005088965098063151,0.004475174461859033,0.1,32,0.6,"{'learning_rate': 0.1, 'n_estimators': 32, 'subsample': 0.6}",0.9253731343283582,0.9291044776119403,0.9223202170963365,0.9255992763455451,0.002774275021796752,30
