mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.035259644190470375,0.006640006584923025,0.005346059799194336,0.007560470273278215,8,{'n_estimators': 8},0.9681139755766621,0.9647218453188603,0.9630257801899593,0.9652872003618272,0.0021153648726672876,4
0.05450208981831869,0.005012987605367379,0.008945624033610025,0.006597344672035763,16,{'n_estimators': 16},0.9684531886024423,0.9630257801899593,0.9637042062415196,0.9650610583446405,0.0024145360135756013,5
0.11371723810831706,0.007896837361312956,0.014652252197265625,0.0009962032677881022,32,{'n_estimators': 32},0.9691316146540027,0.9687924016282226,0.9630257801899593,0.9669832654907281,0.0028017891662966473,3
0.44100411732991535,0.026200503267588847,0.05289125442504883,0.0021106221485559904,128,{'n_estimators': 128},0.9694708276797829,0.966078697421981,0.966078697421981,0.967209407507915,0.0015990655386398298,2
0.8330997625986735,0.005842494873057653,0.1075288454691569,0.009590226774911101,256,{'n_estimators': 256},0.9711668928086838,0.9670963364993216,0.9640434192672999,0.9674355495251018,0.0029180207825789074,1
