mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.03822104136149088,0.006642965387475983,0.010437488555908203,0.007394475118825494,0.1,8,"{'learning_rate': 0.1, 'n_estimators': 8}",0.8900949796472184,0.8822930800542741,0.8883989145183175,0.8869289914066033,0.0033504143803774274,6
0.0724474589029948,0.0033117799171416724,0.006840149561564128,0.004944258794436856,0.1,16,"{'learning_rate': 0.1, 'n_estimators': 16}",0.8900949796472184,0.8822930800542741,0.8883989145183175,0.8869289914066033,0.0033504143803774274,6
0.144529660542806,0.01206884868664707,0.01656945546468099,0.0013611334058479848,0.1,32,"{'learning_rate': 0.1, 'n_estimators': 32}",0.9148575305291723,0.9046811397557666,0.9151967435549525,0.9115784712799638,0.004879115560920729,4
0.26337194442749023,0.008764725693177478,0.029169877370198567,0.007285563823348518,0.1,64,"{'learning_rate': 0.1, 'n_estimators': 64}",0.9263907734056988,0.916214382632293,0.9246947082767978,0.9224332881049299,0.004451610059934313,1
0.5372700691223145,0.007959226501759389,0.06925185521443684,0.004883426685425794,0.1,128,"{'learning_rate': 0.1, 'n_estimators': 128}",0.925033921302578,0.917910447761194,0.923337856173677,0.9220940750791496,0.003038224523415735,2
1.074095090230306,0.05184216619774952,0.13212084770202637,0.002168047966892868,0.1,256,"{'learning_rate': 0.1, 'n_estimators': 256}",0.9223202170963365,0.917910447761194,0.925033921302578,0.9217548620533694,0.002935494117084388,3
0.03163282076517741,0.0040137482794656955,0.006931463877360026,0.0024867374495971305,0.01,8,"{'learning_rate': 0.01, 'n_estimators': 8}",0.8900949796472184,0.8822930800542741,0.8883989145183175,0.8869289914066033,0.0033504143803774274,6
0.06348935763041179,0.0013992097801777599,0.010381142298380533,0.0019304292686918446,0.01,16,"{'learning_rate': 0.01, 'n_estimators': 16}",0.8900949796472184,0.8822930800542741,0.8883989145183175,0.8869289914066033,0.0033504143803774274,6
0.13083871205647787,0.008967681750399083,0.016668319702148438,0.0005897939164710811,0.01,32,"{'learning_rate': 0.01, 'n_estimators': 32}",0.8900949796472184,0.8822930800542741,0.8883989145183175,0.8869289914066033,0.0033504143803774274,6
0.27170801162719727,0.02569511416907189,0.03396153450012207,0.0018533349512185712,0.01,64,"{'learning_rate': 0.01, 'n_estimators': 64}",0.8900949796472184,0.8822930800542741,0.8883989145183175,0.8869289914066033,0.0033504143803774274,6
0.5196379820505778,0.022389175583506615,0.06497716903686523,0.0007558866439042332,0.01,128,"{'learning_rate': 0.01, 'n_estimators': 128}",0.8900949796472184,0.8822930800542741,0.8883989145183175,0.8869289914066033,0.0033504143803774274,6
1.0596400101979573,0.060246541294603516,0.17647902170817056,0.07345746574221987,0.01,256,"{'learning_rate': 0.01, 'n_estimators': 256}",0.9148575305291723,0.9046811397557666,0.9151967435549525,0.9115784712799638,0.004879115560920729,4
0.036589463551839195,0.012282589705863375,0.013000885645548502,0.004204853868059896,0.001,8,"{'learning_rate': 0.001, 'n_estimators': 8}",0.8900949796472184,0.8822930800542741,0.8883989145183175,0.8869289914066033,0.0033504143803774274,6
0.06094670295715332,0.009684369893959174,0.008298794428507486,0.006542622132944303,0.001,16,"{'learning_rate': 0.001, 'n_estimators': 16}",0.8900949796472184,0.8822930800542741,0.8883989145183175,0.8869289914066033,0.0033504143803774274,6
0.1481024424235026,0.003562789337662809,0.015907923380533855,0.00039959244687830985,0.001,32,"{'learning_rate': 0.001, 'n_estimators': 32}",0.8900949796472184,0.8822930800542741,0.8883989145183175,0.8869289914066033,0.0033504143803774274,6
0.2734212080637614,0.007281351371230483,0.042752742767333984,0.013915229435827096,0.001,64,"{'learning_rate': 0.001, 'n_estimators': 64}",0.8900949796472184,0.8822930800542741,0.8883989145183175,0.8869289914066033,0.0033504143803774274,6
0.5450810591379801,0.007612760959410246,0.06479334831237793,0.005190479861982296,0.001,128,"{'learning_rate': 0.001, 'n_estimators': 128}",0.8900949796472184,0.8822930800542741,0.8883989145183175,0.8869289914066033,0.0033504143803774274,6
1.113861878712972,0.09037435170111657,0.1345681349436442,0.0053548504751713055,0.001,256,"{'learning_rate': 0.001, 'n_estimators': 256}",0.8900949796472184,0.8822930800542741,0.8883989145183175,0.8869289914066033,0.0033504143803774274,6
