mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.5920413335164388,0.004801875390029633,0.004801829655965169,0.0034566055311845835,0.1,128,0.6,"{'learning_rate': 0.1, 'n_estimators': 128, 'subsample': 0.6}",0.9484396200814111,0.9504748982360922,0.9474219810040706,0.9487788331071912,0.0012692189236003467,11
0.6416695912679037,0.01971209643355565,0.002970536549886068,0.00366593716093709,0.1,128,0.7,"{'learning_rate': 0.1, 'n_estimators': 128, 'subsample': 0.7}",0.9494572591587517,0.9491180461329715,0.9508141112618724,0.9497964721845319,0.0007327838872012558,6
0.6812742551167806,0.031372489893062294,0.007282813390096028,0.00023023552180365876,0.1,128,0.75,"{'learning_rate': 0.1, 'n_estimators': 128, 'subsample': 0.75}",0.9467435549525102,0.9477611940298507,0.9494572591587517,0.9479873360470376,0.001119345877047901,13
0.6902698675791422,0.010616028312348083,0.002322514851888021,0.003284532002352979,0.1,128,0.85,"{'learning_rate': 0.1, 'n_estimators': 128, 'subsample': 0.85}",0.9481004070556309,0.9477611940298507,0.9474219810040706,0.9477611940298507,0.0002769662757556498,15
0.7299954891204834,0.002254165076839711,0.008824507395426432,0.003962382416513318,0.1,128,0.9,"{'learning_rate': 0.1, 'n_estimators': 128, 'subsample': 0.9}",0.9481004070556309,0.9487788331071914,0.9491180461329715,0.948665762098598,0.00042307297453345554,12
1.3661753336588542,0.17689044761291756,0.0157315731048584,0.002614657912693839,0.1,256,0.6,"{'learning_rate': 0.1, 'n_estimators': 256, 'subsample': 0.6}",0.9542062415196744,0.9548846675712347,0.9525101763907734,0.9538670284938942,0.0009986161088113696,5
1.2701717217763264,0.04557795435843345,0.011498212814331055,0.0013276739414284202,0.1,256,0.7,"{'learning_rate': 0.1, 'n_estimators': 256, 'subsample': 0.7}",0.9582767978290366,0.9559023066485753,0.9562415196743554,0.9568068747173225,0.001048577396596074,1
1.2825738588968914,0.03063887204434824,0.014272054036458334,0.002325710123006179,0.1,256,0.75,"{'learning_rate': 0.1, 'n_estimators': 256, 'subsample': 0.75}",0.9559023066485753,0.9572591587516961,0.9535278154681139,0.9555630936227951,0.0015420829598582222,4
1.6406702995300293,0.2680817179802761,0.016709566116333008,0.001833509756751044,0.1,256,0.85,"{'learning_rate': 0.1, 'n_estimators': 256, 'subsample': 0.85}",0.9575983717774763,0.9559023066485753,0.9552238805970149,0.9562415196743556,0.000998616108811407,2
1.4186415672302246,0.018744258147376784,0.014762481053670248,0.003859147988801481,0.1,256,0.9,"{'learning_rate': 0.1, 'n_estimators': 256, 'subsample': 0.9}",0.9569199457259159,0.9579375848032564,0.9525101763907734,0.9557892356399819,0.002355570630483899,3
0.039038499196370445,0.0018412114650325478,0.0016757647196451824,0.0012569481205652615,0.01,8,0.6,"{'learning_rate': 0.01, 'n_estimators': 8, 'subsample': 0.6}",0.5559701492537313,0.5559701492537313,0.5559701492537313,0.5559701492537313,0.0,96
0.048596700032552086,0.001645496535800052,0.0026992162068684897,0.0004732858550888014,0.01,8,0.7,"{'learning_rate': 0.01, 'n_estimators': 8, 'subsample': 0.7}",0.5559701492537313,0.5559701492537313,0.5559701492537313,0.5559701492537313,0.0,96
0.04607534408569336,0.0007536543906610883,0.002331972122192383,0.00046982452483552685,0.01,8,0.75,"{'learning_rate': 0.01, 'n_estimators': 8, 'subsample': 0.75}",0.5559701492537313,0.5559701492537313,0.5559701492537313,0.5559701492537313,0.0,96
0.04804253578186035,0.00268287430742175,0.0020438830057779946,0.0014462857536975083,0.01,8,0.85,"{'learning_rate': 0.01, 'n_estimators': 8, 'subsample': 0.85}",0.5559701492537313,0.5559701492537313,0.5559701492537313,0.5559701492537313,0.0,96
0.04964359601338705,0.0013442652413844065,0.0020194053649902344,2.7818452587644777e-05,0.01,8,0.9,"{'learning_rate': 0.01, 'n_estimators': 8, 'subsample': 0.9}",0.5559701492537313,0.5559701492537313,0.5559701492537313,0.5559701492537313,0.0,96
0.07695261637369792,0.0019648498147609834,0.0020127296447753906,1.574766295941777e-05,0.01,16,0.6,"{'learning_rate': 0.01, 'n_estimators': 16, 'subsample': 0.6}",0.9063772048846676,0.9084124830393487,0.850067842605156,0.8882858435097241,0.0270369781860314,86
0.07591946919759114,0.006375947398357601,0.007250547409057617,0.00608515122757619,0.01,16,0.7,"{'learning_rate': 0.01, 'n_estimators': 16, 'subsample': 0.7}",0.9063772048846676,0.9043419267299865,0.850067842605156,0.8869289914066033,0.026078008711218258,90
0.11349550882975261,0.016276910338885654,0.003154913584391276,0.0024341093321108304,0.01,16,0.75,"{'learning_rate': 0.01, 'n_estimators': 16, 'subsample': 0.75}",0.905359565807327,0.9077340569877883,0.850067842605156,0.8877204884667571,0.02664208271858493,88
0.09902556737263997,0.002460761343175119,0.0023119449615478516,0.0004645443105241131,0.01,16,0.85,"{'learning_rate': 0.01, 'n_estimators': 16, 'subsample': 0.85}",0.905359565807327,0.9084124830393487,0.850067842605156,0.887946630483944,0.02681333007145329,87
0.11300388971964519,0.02000819464546222,0.0029753843943277993,1.762184103041351e-05,0.01,16,0.9,"{'learning_rate': 0.01, 'n_estimators': 16, 'subsample': 0.9}",0.905359565807327,0.9084124830393487,0.8490502035278155,0.8876074174581637,0.027292540317326957,89
0.16101296742757162,0.02469591902232291,0.0020051002502441406,0.0014178354326552475,0.01,32,0.6,"{'learning_rate': 0.01, 'n_estimators': 32, 'subsample': 0.6}",0.905359565807327,0.9084124830393487,0.9111261872455902,0.9082994120307554,0.0023555706304839064,77
0.1646582285563151,0.004114838493996848,0.0020977656046549478,0.0014907234522492973,0.01,32,0.7,"{'learning_rate': 0.01, 'n_estimators': 32, 'subsample': 0.7}",0.905359565807327,0.9084124830393487,0.9111261872455902,0.9082994120307554,0.0023555706304839064,77
0.16942246754964194,0.007482985032117147,0.0,0.0,0.01,32,0.75,"{'learning_rate': 0.01, 'n_estimators': 32, 'subsample': 0.75}",0.905359565807327,0.9084124830393487,0.9111261872455902,0.9082994120307554,0.0023555706304839064,77
0.17063069343566895,0.008535624166423467,0.005331754684448242,0.007540239785992986,0.01,32,0.85,"{'learning_rate': 0.01, 'n_estimators': 32, 'subsample': 0.85}",0.905359565807327,0.9084124830393487,0.9111261872455902,0.9082994120307554,0.0023555706304839064,77
0.1871351401011149,0.0067483848230779535,0.001348574956258138,0.0019071729930169622,0.01,32,0.9,"{'learning_rate': 0.01, 'n_estimators': 32, 'subsample': 0.9}",0.905359565807327,0.9077340569877883,0.9111261872455902,0.9080732700135684,0.002366400897383127,85
0.2919493516286214,0.004526614005661748,0.0037812391916910806,0.0011178796123979056,0.01,64,0.6,"{'learning_rate': 0.01, 'n_estimators': 64, 'subsample': 0.6}",0.916214382632293,0.917910447761194,0.9182496607869742,0.9174581637268204,0.0008903220119868795,60
0.31197396914164227,0.007081126717460382,0.00906229019165039,0.004714768789731036,0.01,64,0.7,"{'learning_rate': 0.01, 'n_estimators': 64, 'subsample': 0.7}",0.916214382632293,0.917910447761194,0.9182496607869742,0.9174581637268204,0.0008903220119868795,60
0.35462021827697754,0.03643634316080486,0.007576386133829753,0.00533792011146417,0.01,64,0.75,"{'learning_rate': 0.01, 'n_estimators': 64, 'subsample': 0.75}",0.916214382632293,0.9175712347354138,0.9182496607869742,0.9173450927182271,0.0008461459490669407,64
0.5311651229858398,0.03351393757610403,0.004827340443929036,0.0035525115874301795,0.01,64,0.85,"{'learning_rate': 0.01, 'n_estimators': 64, 'subsample': 0.85}",0.916214382632293,0.9175712347354138,0.9182496607869742,0.9173450927182271,0.0008461459490669407,64
0.3919077714284261,0.04038322233329581,0.004398504892985026,0.003765295841895961,0.01,64,0.9,"{'learning_rate': 0.01, 'n_estimators': 64, 'subsample': 0.9}",0.916214382632293,0.9175712347354138,0.9182496607869742,0.9173450927182271,0.0008461459490669407,64
0.6288798650105795,0.06673246903984874,0.010687987009684244,0.007558314757866014,0.01,128,0.6,"{'learning_rate': 0.01, 'n_estimators': 128, 'subsample': 0.6}",0.9189280868385346,0.9182496607869742,0.9192672998643148,0.9188150158299412,0.00042307297453344567,49
0.609329620997111,0.008317260927198434,0.005232175191243489,0.007399413116168586,0.01,128,0.7,"{'learning_rate': 0.01, 'n_estimators': 128, 'subsample': 0.7}",0.9172320217096337,0.917910447761194,0.9192672998643148,0.9181365897783809,0.0008461459490669012,52
0.6517450014750162,0.0221541030954511,0.00737611452738444,0.006655860078151981,0.01,128,0.75,"{'learning_rate': 0.01, 'n_estimators': 128, 'subsample': 0.75}",0.9172320217096337,0.9175712347354138,0.9192672998643148,0.9180235187697874,0.0008903220119868466,54
0.7127618789672852,0.02883812695625366,0.010449409484863281,0.007399690876244962,0.01,128,0.85,"{'learning_rate': 0.01, 'n_estimators': 128, 'subsample': 0.85}",0.916214382632293,0.917910447761194,0.9192672998643148,0.9177973767526005,0.0012489101104915554,55
0.6926693916320801,0.013242613405178592,0.00725555419921875,0.006498586857269517,0.01,128,0.9,"{'learning_rate': 0.01, 'n_estimators': 128, 'subsample': 0.9}",0.9172320217096337,0.917910447761194,0.9192672998643148,0.9181365897783809,0.0008461459490669012,52
1.1294626394907634,0.026149928885342257,0.009847323099772135,0.00714083451141593,0.01,256,0.6,"{'learning_rate': 0.01, 'n_estimators': 256, 'subsample': 0.6}",0.9260515603799185,0.9175712347354138,0.9260515603799185,0.9232247851650836,0.003997663846599653,37
1.5970916748046875,0.05628017078837811,0.016859134038289387,0.0023197915572951366,0.01,256,0.7,"{'learning_rate': 0.01, 'n_estimators': 256, 'subsample': 0.7}",0.9263907734056988,0.9175712347354138,0.9260515603799185,0.923337856173677,0.004079968012815179,31
1.366645097732544,0.024339005544627635,0.015115896860758463,0.0010069982752044094,0.01,256,0.75,"{'learning_rate': 0.01, 'n_estimators': 256, 'subsample': 0.75}",0.926729986431479,0.9172320217096337,0.9260515603799185,0.923337856173677,0.004326351530915615,31
1.374323050181071,0.023078368026476573,0.010528484980265299,0.006280247641715061,0.01,256,0.85,"{'learning_rate': 0.01, 'n_estimators': 256, 'subsample': 0.85}",0.926729986431479,0.9172320217096337,0.9260515603799185,0.923337856173677,0.004326351530915615,31
1.4502522945404053,0.012657132927082024,0.013823429743448893,0.0014926866654372763,0.01,256,0.9,"{'learning_rate': 0.01, 'n_estimators': 256, 'subsample': 0.9}",0.926729986431479,0.9172320217096337,0.9253731343283582,0.9231117141564903,0.004194309586384289,38
0.05813193321228027,0.0047104133713319835,0.0,0.0,0.05,8,0.6,"{'learning_rate': 0.05, 'n_estimators': 8, 'subsample': 0.6}",0.923337856173677,0.9175712347354138,0.9111261872455902,0.917345092718227,0.0049879568069001986,70
0.057066122690836586,0.01338612801291508,0.00624839464823405,0.006807769596232692,0.05,8,0.7,"{'learning_rate': 0.05, 'n_estimators': 8, 'subsample': 0.7}",0.905359565807327,0.9175712347354138,0.9097693351424695,0.9109000452284035,0.005049098498816371,75
0.09078550338745117,0.04221330245263235,0.0032764275868733725,0.004633568329489675,0.05,8,0.75,"{'learning_rate': 0.05, 'n_estimators': 8, 'subsample': 0.75}",0.905359565807327,0.9175712347354138,0.9111261872455902,0.911352329262777,0.0049879568069001986,72
