mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.045725504557291664,0.003942906480453093,0.007042725880940755,0.006742910651934847,0.1,8,"{'learning_rate': 0.1, 'n_estimators': 8}",0.8894165535956581,0.8900949796472184,0.8877204884667571,0.8890773405698779,0.0009986161088113696,6
0.10042699178059895,0.027039381801646993,0.010728995005289713,0.006853167417889005,0.1,16,"{'learning_rate': 0.1, 'n_estimators': 16}",0.8894165535956581,0.8900949796472184,0.8877204884667571,0.8890773405698779,0.0009986161088113696,6
0.15546154975891113,0.016270194616522994,0.018550316492716473,0.0007785928362471673,0.1,32,"{'learning_rate': 0.1, 'n_estimators': 32}",0.9118046132971506,0.916214382632293,0.9090909090909091,0.9123699683401175,0.002935494117084388,4
0.2673312822977702,0.012868644991804765,0.03611890474955241,0.002094102430601918,0.1,64,"{'learning_rate': 0.1, 'n_estimators': 64}",0.9202849389416553,0.9253731343283582,0.9168928086838535,0.9208502939846223,0.003485082543514798,3
0.5380064646402994,0.019423906765627438,0.06724190711975098,0.0017149238193131847,0.1,128,"{'learning_rate': 0.1, 'n_estimators': 128}",0.9229986431478969,0.9253731343283582,0.9219810040705563,0.9234509271822704,0.0014212805393460674,1
1.1472650369008381,0.08957063829185125,0.18365065256754556,0.0539613282460749,0.1,256,"{'learning_rate': 0.1, 'n_estimators': 256}",0.9202849389416553,0.9257123473541384,0.921302578018996,0.92243328810493,0.002355570630483933,2
0.060304721196492515,0.02119372616680028,0.007025241851806641,0.0061978662953000845,0.01,8,"{'learning_rate': 0.01, 'n_estimators': 8}",0.8894165535956581,0.8900949796472184,0.8877204884667571,0.8890773405698779,0.0009986161088113696,6
0.08784214655558269,0.006169776763084798,0.017466068267822266,0.012725431074220639,0.01,16,"{'learning_rate': 0.01, 'n_estimators': 16}",0.8894165535956581,0.8900949796472184,0.8877204884667571,0.8890773405698779,0.0009986161088113696,6
0.18092123667399088,0.012653472183638515,0.03163909912109375,0.00010593103193156839,0.01,32,"{'learning_rate': 0.01, 'n_estimators': 32}",0.8894165535956581,0.8900949796472184,0.8877204884667571,0.8890773405698779,0.0009986161088113696,6
0.3547178904215495,0.09229880048990137,0.036455392837524414,0.0027206132069555067,0.01,64,"{'learning_rate': 0.01, 'n_estimators': 64}",0.8894165535956581,0.8900949796472184,0.8877204884667571,0.8890773405698779,0.0009986161088113696,6
0.6480065186818441,0.04722918103757136,0.07587663332621257,0.007709411914018585,0.01,128,"{'learning_rate': 0.01, 'n_estimators': 128}",0.8894165535956581,0.8900949796472184,0.8877204884667571,0.8890773405698779,0.0009986161088113696,6
1.0769971211751301,0.0065552115462902474,0.13432876269022623,0.0027620086407994953,0.01,256,"{'learning_rate': 0.01, 'n_estimators': 256}",0.9118046132971506,0.916214382632293,0.905359565807327,0.9111261872455901,0.004457350371874023,5
0.03490821520487467,0.0005719811060485098,0.004761854807535808,0.0005510206468907416,0.001,8,"{'learning_rate': 0.001, 'n_estimators': 8}",0.8894165535956581,0.8900949796472184,0.8877204884667571,0.8890773405698779,0.0009986161088113696,6
0.06530642509460449,0.00293629322570497,0.006162722905476888,0.0043991433879373805,0.001,16,"{'learning_rate': 0.001, 'n_estimators': 16}",0.8894165535956581,0.8900949796472184,0.8877204884667571,0.8890773405698779,0.0009986161088113696,6
0.14392916361490884,0.002175586907943031,0.02049541473388672,0.00673735080901873,0.001,32,"{'learning_rate': 0.001, 'n_estimators': 32}",0.8894165535956581,0.8900949796472184,0.8877204884667571,0.8890773405698779,0.0009986161088113696,6
0.26493287086486816,0.00637209343958831,0.04087313016255697,0.005599771007032383,0.001,64,"{'learning_rate': 0.001, 'n_estimators': 64}",0.8894165535956581,0.8900949796472184,0.8877204884667571,0.8890773405698779,0.0009986161088113696,6
0.5441316763559977,0.009790843682256058,0.06959859530131023,0.0027634234940101025,0.001,128,"{'learning_rate': 0.001, 'n_estimators': 128}",0.8894165535956581,0.8900949796472184,0.8877204884667571,0.8890773405698779,0.0009986161088113696,6
1.477073113123576,0.18073878143386576,0.18562698364257812,0.056297518616435144,0.001,256,"{'learning_rate': 0.001, 'n_estimators': 256}",0.8894165535956581,0.8900949796472184,0.8877204884667571,0.8890773405698779,0.0009986161088113696,6
